country_code,year,fiscal_balance_pct_gdp,gross_debt_pct_gdp
BGD,2019,-5.408184918000704,31.95137136745627
BGD,2020,-4.840447797227382,34.50939417911987
BGD,2021,-3.555290875339054,35.61443773974593
BGD,2022,-4.527664664073195,37.86260416062109
BGD,2023,-4.387763211515561,39.72644608433671
BGD,2024,-3.695016906726924,40.97176449317589
BGD,2025,-2.933240824857731,42.03281050238129
BGD,2026,-4.300483675703767,41.79735267954335
BGR,2010,-3.769372478926099,14.06394385691294
BGR,2011,-1.833791373071842,14.33463931609795
BGR,2012,-0.4341666549236468,16.54537894074042
BGR,2013,-1.751551427870077,17.16464766631973
BGR,2014,-3.651850587874716,26.26612508777664
BGR,2015,-2.774584737763101,25.35866872081741
BGR,2016,1.539685395790135,27.00712350687771
BGR,2017,0.8234429060091961,22.91919872644496
BGR,2018,0.1233907171523116,20.14661577872961
BGR,2019,-0.962889083127544,18.41590023357194
BGR,2020,-2.919191021400439,22.7351496652687
BGR,2021,-2.802418380814332,23.85037732482378
BGR,2022,-0.8002698440213467,22.48512273835594
BGR,2023,-3.039572588175886,22.93061969174063
BGR,2024,-3.007922489574077,23.84004919711167
BGR,2025,-3.009226365989825,27.08961292983952
BGR,2026,-3.272786578453054,28.21299694179401
BHR,2010,-9.28584299115492,28.78721704922587
BHR,2011,-4.901220544580203,31.55369032346396
BHR,2012,-5.765648743616989,34.83280815893855
BHR,2013,-8.545164272734493,42.270040581652
BHR,2014,-3.318628946335874,42.63014867906691
BHR,2015,-17.46163968248646,63.17982102860713
BHR,2016,-16.57913992546685,77.36628615203004
BHR,2017,-13.37697283579956,84.0287726070484
BHR,2018,-11.27566492758221,90.38443669526455
BHR,2019,-8.566521933536253,97.12939053747405
BHR,2020,-17.30468691906092,125.7003847880697
BHR,2021,-10.57015457882042,122.3001318058443
BHR,2022,-6.034836893789998,111.6476353983537
BHR,2023,-9.66406859196852,123.020301376993
BHR,2024,-11.00675800329224,133.6716298176648
