country_code,country,year,gdp_per_capita,real_gdp_growth,inflation_rate,compulsory_education_years,population_65_plus_pct,fertility_rate,unemployment_rate,government_expenditure_pct_gdp,government_revenue_pct_gdp,gdp_deflator_inflation,current_account_pct_gdp,age_dependency_ratio,gross_capital_formation_pct_gdp,total_reserves_months_imports,savings_pct_gdp,exports_pct_gdp
SRB,Serbia,2017,6548.03653824187,2.3634031250553,3.13106248590115,8.0,19.9073825690271,1.49,13.477,36.1410383011071,39.0176736635876,2.9973452123824,-5.05239948291626,51.9843219838154,19.7183969139317,4.95930958872781,15.7027825940708,48.1324550415002
SRB,Serbia,2018,7559.86165747394,4.64935035491007,1.95984076293801,8.0,20.4864046664261,1.49,12.733,35.1923667823381,38.6414959649739,1.99999940277962,-4.65847286841162,53.2665314122019,22.4992604945944,4.678012112008,18.7537576105085,48.6702102411693
SRB,Serbia,2019,7755.632986437,4.75020793899014,1.84922984511086,8.0,21.0643608505556,1.52,10.395,35.742587631728,39.2908234713367,2.34783114136296,-6.56331526088244,54.6017908714794,24.9266250234247,5.17958382244663,18.2806094188124,48.9609956559925
SRB,Serbia,2020,8098.70955668849,-0.950023991851594,1.57553290083415,8.0,21.5708751193576,1.48,9.011,42.5376524683873,39.4299683143155,2.6493593974983,-3.89586001943545,55.8406068162926,24.0974936172696,6.1329155353194,20.4644619024851,46.1050875935238
SRB,Serbia,2021,9680.52798074468,7.94905650472278,4.08510285335102,8.0,21.888601009739,1.52,9.843,37.6982895078739,34.5619415663687,5.68404945078089,-4.01208394283306,56.7307892970407,24.9450929619478,5.25245751488643,21.4789405326632,52.3404005216526
SRB,Serbia,2022,10024.8191112596,2.70347705543654,11.9815117344703,8.0,22.0776743361109,1.59,8.439,35.4627580017931,38.6499916194589,10.4583041504024,-6.67116914473895,57.3125583332035,26.3842034681714,4.83595341885136,20.4535181367461,60.7381674989747
SRB,Serbia,2023,12281.707946167,3.74793303561771,12.3719043552519,8.0,22.3383596618497,1.62,8.268,36.1410383011071,37.4578854866977,13.9302963711276,-2.39364392003309,57.94954577942,24.6160934874749,6.17966306291646,22.5619936563079,55.0746098125196
SRB,Serbia,2024,13679.2065983557,3.94992622592932,4.6705297488997,8.0,22.6860376805019,1.64,7.24,36.1410383011071,37.4578854866977,6.34994571281966,-4.55603196572108,58.7227716497179,25.0264449793479,6.16544065521643,20.6351104667315,53.5837667090226
SRB,Serbia,2025,7082.2861666075,2.3634031250553,4.08510285335102,8.0,19.9073825690271,1.48,7.123,36.1410383011071,37.4578854866977,4.95030879905744,-5.05239948291626,51.9843219838154,19.7183969139317,5.85006510166845,16.3710741296934,46.4536704388373
SGP,Singapore,2010,47236.683084953,14.5197497108994,2.82884527612958,6.0,7.3372360210155,1.15,4.12,12.4128043266242,16.7790639246853,1.10780871344616,22.9333472183784,27.3410335609054,27.6582275190447,5.8077734027456,50.5915809058007,197.998960793027
SGP,Singapore,2011,53891.4570264372,6.21493416858989,5.25115624639373,6.0,7.48226779969044,1.2,3.89,12.7726522542327,17.0209629280307,1.17079820355097,22.2184518342372,26.9496478674041,26.6919943455279,5.16536886202672,48.8092109004309,203.327708649538
